Date,Symbol,TradeType,EntryTime,EntryPrice,ExitTime,ExitPrice,PnL,ExitReason
15-03-2024,BHEL,Sell,09:35:00,222.35,09:45:00,218.6,3.75,Target Hit
18-03-2024,BHEL,Buy,09:25:00,219.15,09:30:00,217.2,-1.95,Stop Loss Hit
19-03-2024,BHEL,Buy,09:25:00,225.6,09:40:00,224.8,-0.8,Stop Loss Hit
19-03-2024,BHEL,Sell,10:15:00,221.25,10:20:00,219.75,1.5,Target Hit
20-03-2024,BHEL,Sell,09:40:00,219.7,09:45:00,220.8,-1.1,Stop Loss Hit
20-03-2024,BHEL,Buy,15:05:00,224.5,15:15:00,225.45,0.95,Time Exit
21-03-2024,BHEL,Buy,09:35:00,233.5,10:20:00,234.95,1.45,Target Hit
22-03-2024,BHEL,Buy,13:35:00,239.4,15:00:00,238.8,-0.6,Stop Loss Hit
26-03-2024,BHEL,Buy,11:00:00,240,11:10:00,239.2,-0.8,Stop Loss Hit
27-03-2024,BHEL,Buy,09:25:00,244.5,09:35:00,246.4,1.9,Target Hit
28-03-2024,BHEL,Sell,09:20:00,248.5,10:00:00,246.7,1.8,Target Hit
01-04-2024,BHEL,Buy,09:35:00,251.65,09:40:00,250.75,-0.9,Stop Loss Hit
01-01-2024,BPCL,Sell,14:25:00,215.9,15:15:00,215.5,0.4,Time Exit
02-01-2024,BPCL,Buy,09:35:00,216.65,09:55:00,215.7,-0.95,Stop Loss Hit
02-01-2024,BPCL,Sell,10:25:00,214.5,10:50:00,215.4,-0.9,Stop Loss Hit
03-01-2024,BPCL,Sell,09:35:00,218.05,10:05:00,218.65,-0.6,Stop Loss Hit
03-01-2024,BPCL,Buy,10:40:00,219.8,12:30:00,221.5,1.7,Target Hit
04-01-2024,BPCL,Sell,14:25:00,215.15,15:05:00,215.7,-0.55,Stop Loss Hit
05-01-2024,BPCL,Buy,09:20:00,218.05,09:40:00,217.2,-0.85,Stop Loss Hit
05-01-2024,BPCL,Sell,10:50:00,215.8,10:55:00,216.6,-0.8,Stop Loss Hit
08-01-2024,BPCL,Sell,11:15:00,216.75,11:30:00,217.3,-0.55,Stop Loss Hit
09-01-2024,BPCL,Sell,09:20:00,218.9,10:00:00,217.75,1.15,Target Hit
09-01-2024,BPCL,Buy,13:30:00,220.6,14:05:00,220,-0.6,Stop Loss Hit
10-01-2024,BPCL,Sell,09:25:00,212.7,09:30:00,213.6,-0.9,Stop Loss Hit
